 count |   max    |   min    | round | id_department
-------+----------+----------+-------+---------------
     1 |  4400.00 |  4400.00 |  4400 |            10
     3 | 24000.00 | 17000.00 | 19300 |            90
     6 | 12000.00 |  6900.00 |  8600 |           100
     2 | 12000.00 |  8300.00 | 10200 |           110
     6 | 11000.00 |  2500.00 |  4200 |            30
    45 |  8200.00 |  2100.00 |  3500 |            50
     1 |  6500.00 |  6500.00 |  6500 |            40
     5 |  9000.00 |  4200.00 |  5800 |            60
     1 | 10000.00 | 10000.00 | 10000 |            70
    34 | 14000.00 |  6100.00 |  9000 |            80
     2 | 13000.00 |  6000.00 |  9500 |            20

